nb_mov,country
251598,United States
109915,United Kingdom
87166,Japan
83408,Unknown code
80150,France
67505,India
65143,Canada
63430,Germany
62403,Italy
61193,Brazil
60792,Spain
56346,Greece
45173,Poland
42357,Hungary
41619,Finland
41315,Russian Federation
39052,Portugal
34839,Sweden
33645,Mexico
31545,Australia
30249,Denmark
28225,Unknown code
27991,Turkey
27875,Argentina
22360,Unknown code
20798,Hong Kong
18983,Bulgaria
16814,Romania
15372,Austria
15049,Belgium
14936,Norway
14683,"Taiwan, Province of China"
13570,Serbia
12437,Philippines
12029,Netherlands
11134,China
11122,Ukraine
8628,Lithuania
7775,"Korea, Republic of"
7234,Unknown code
7107,Czechia
6875,Croatia
6607,Slovenia
6297,Israel
6282,"Iran, Islamic Republic of"
5586,Uruguay
5506,Ireland
5490,Peru
5485,Chile
5011,Unknown code
4716,Unknown code
4284,Estonia
4240,Colombia
4137,New Zealand
4122,Switzerland
3895,"Venezuela, Bolivarian Republic of"
3784,Slovakia
3618,Egypt
3553,Latvia
3377,Viet Nam
2917,Indonesia
2886,Unknown code
2772,South Africa
2430,Pakistan
1852,Thailand
1811,Malaysia
1468,Bangladesh
1312,Singapore
1226,Albania
1225,Uzbekistan
957,Iceland
921,Nigeria
920,Sri Lanka
855,Bosnia and Herzegovina
766,Cuba
699,Georgia
667,Dominican Republic
604,Nepal
519,Lebanon
471,Azerbaijan
464,Algeria
460,Tunisia
422,Morocco
417,Panama
389,Kazakhstan
385,Puerto Rico
348,United Arab Emirates
311,Ecuador
303,Luxembourg
292,"Bolivia, Plurinational State of"
258,Armenia
255,Belarus
251,Mongolia
238,Unknown code
225,"Korea, Democratic People's Republic of"
220,Costa Rica
185,North Macedonia
160,Unknown code
150,Syrian Arab Republic
147,Iraq
146,Unknown code
140,Cameroon
140,Kenya
139,Cambodia
135,Senegal
126,Burkina Faso
125,Cyprus
121,Ghana
118,Paraguay
117,Guatemala
112,Uganda
108,Afghanistan
106,Jamaica
94,"Palestine, State of"
87,"Moldova, Republic of"
78,Unknown code
78,Trinidad and Tobago
76,Malta
71,Liechtenstein
71,Haiti
70,Saudi Arabia
70,Kuwait
69,Kyrgyzstan
67,Unknown code
62,Ethiopia
62,El Salvador
61,Qatar
60,Jordan
59,Mozambique
54,"Tanzania, United Republic of"
54,Myanmar
52,Monaco
50,Bahamas
50,Benin
49,Angola
48,Côte d'Ivoire
47,Congo
47,Honduras
46,Lao People's Democratic Republic
45,Zimbabwe
43,Mali
41,Montenegro
40,Nicaragua
39,Maldives
36,Unknown code
35,Mauritius
35,Bhutan
34,Tajikistan
33,Bahrain
32,Unknown code
31,Macao
31,Greenland
27,Turkmenistan
27,Niger
26,San Marino
23,Sudan
22,"Congo, The Democratic Republic of the"
22,Rwanda
20,Gabon
20,Andorra
19,Barbados
19,Isle of Man
19,Madagascar
19,Unknown code
18,Guinea
17,"Virgin Islands, U.S."
17,Fiji
16,Unknown code
16,Guam
14,Guadeloupe
13,Burundi
12,Malawi
12,Papua New Guinea
12,Togo
12,Guinea-Bissau
12,Sierra Leone
12,Antigua and Barbuda
11,Zambia
11,Suriname
10,Bermuda
10,Yemen
9,Mauritania
9,Eritrea
9,Libya
9,Aruba
9,Réunion
8,Liberia
8,Belize
8,Unknown code
8,Oman
8,Brunei Darussalam
7,Martinique
7,Somalia
6,French Polynesia
6,Marshall Islands
6,Chad
6,Faroe Islands
6,Cabo Verde
5,Lesotho
5,Cayman Islands
5,Eswatini
5,Gambia
4,Tonga
4,Timor-Leste
4,Holy See (Vatican City State)
4,Saint Lucia
4,Sao Tome and Principe
4,Guyana
4,Gibraltar
3,Comoros
3,Unknown code
3,Dominica
3,Antarctica
3,Vanuatu
3,Botswana
2,Djibouti
2,Unknown code
2,Seychelles
2,Equatorial Guinea
2,American Samoa
2,Western Sahara
2,Saint Vincent and the Grenadines
2,Central African Republic
1,Saint Kitts and Nevis
1,Solomon Islands
1,New Caledonia
1,Kiribati
1,Unknown code
1,Unknown code
1,Northern Mariana Islands
1,Grenada
